Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,Fromage frais crémeux,0.16596003,1.5810773,4.5782903e-8,0.21383793,0.0026744662,1.1632546999999999e-7,4.0680904e-8,1.2386566e-9,0.017188832,0.00022196576,0.005424968800000001,0.072308794,17.540426,90.117834,0.31008725,8.0918247,0.000014750478
37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,Autres étapes,0.056603969,0.39910518,5.9492727999999995e-8,0.515853829,0.0010938288499999999,2.8144123799999997e-8,7.156927299999999e-9,2.3424815999999996e-10,0.0021609221600000002,0.00009022793200000002,0.0013002928,0.0069759166,2.31103491,9.058034,0.144492856,15.2692804,0.0000023202285400000004
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,Huile d'olive,0.047437025,0.062056748,1.7628231e-8,0.011424039,0.00089049375,2.641599e-8,2.0492493999999998e-8,4.1801701e-10,0.0037725052,0.000051652326,0.0017387606,0.015761633,5.5773467,54.288788,1.9452836,1.7206826,0.0000018933753
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,Oignons,0.0027581263999999998,0.0098480902,1.4130252999999998e-9,0.0023872754,0.000045213372,8.713342799999999e-10,3.3853621999999996e-10,1.3673612000000002e-11,0.00011107491,0.000002771265,0.00012519084,0.00040768017,0.2305117,0.99846176,0.16512767,0.13771404,1.5189091e-7
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,Tomate,0.039830106,0.25027052,3.3986289e-8,0.040745415,0.00086772301,1.673083e-8,1.2358826e-8,3.5743452000000005e-10,0.0019514335,0.000034829113,0.0010069699,0.0070553526,1.9413843,-3.2215897,1.6054627,4.2473921,0.0000026089528
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,Autres étapes,0.056603969,0.39910518,5.9492727999999995e-8,0.515853829,0.0010938288499999999,2.8144123799999997e-8,7.156927299999999e-9,2.3424815999999996e-10,0.0021609221600000002,0.00009022793200000002,0.0013002928,0.0069759166,2.31103491,9.058034,0.144492856,15.2692804,0.0000023202285400000004
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Carotte,0.044999878,0.16197697,2.1477785e-8,0.038763642,0.00064396925,1.3479915999999999e-8,9.383234e-9,2.0062082000000003e-10,0.0016989271,0.000042717361,0.0013653128,0.0052544491,20.184027,9.6692621,2.3002644,2.3767463,0.0000016283407
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Poireau,0.07779473599999999,0.50256106,5.0763708e-8,0.055348976,0.002148603,6.296116099999999e-8,4.3998224e-8,4.8718941e-10,0.0055275241,0.000046885405,0.0023847161,0.035671559,12.13525,11.805694,1.7229909,4.133674,0.0000023203405999999995
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Oignons,0.0449211,0.16039404,2.3013683e-8,0.038881117,0.0007363819,1.4191261999999999e-8,5.5136773e-9,2.2269961e-10,0.0018090566,0.000045135086,0.0020389602,0.0066398121,3.7543018,16.261764,2.689404,2.2429233,0.0000024738194999999995
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Autres étapes,1.9112992100000001,8.600229500000001,7.6429813e-7,30.2394538,0.0245817245,4.9497378e-7,1.55399554e-7,6.557489000000001e-9,0.060895298,0.0026867884500000002,0.0241074244,0.14005343199999998,29.022917999999997,77.07536999999999,2.41243697,701.9048,0.000053668625999999994
