sexe,age,taille,poids
1,147,151.13,45.8
0,160,150.62,35.6
1,148,149.86,43.08
0,149,144.78,41.72
0,156,156.21,49.21
0,177,160.02,50.34
1,169,157.48,44.67
0,189,170.18,58.05
1,197,156.21,54.88
0,145,143.51,41.27
0,139,139.7,33.33
0,193,182.88,68.03
0,142,139.7,34.47
1,143,156.21,52.83
0,186,167.64,50.79
1,183,168.91,50.79
0,189,165.1,51.7
0,163,165.86,53.29
1,184,158.24,48.98
1,154,154.94,55.56
0,183,164.59,50.34
0,147,128.27,35.83
0,172,165.1,50.79
0,162,163.83,53.97
0,164,156.21,63.49
0,156,168.4,48.07
0,168,168.91,50.57
1,180,149.86,50.79
1,173,159.51,46.49
0,150,151.13,38.1
1,164,165.86,44.44
1,182,157.48,41.5
0,151,154.94,36.73
0,152,154.43,43.99
0,160,162.56,52.61
1,156,138.43,34.01
1,177,155.7,50.79
0,250,171.45,77.78
0,141,146.05,38.55
1,210,166.37,63.49
0,150,149.86,45.12
0,176,162.05,44.67
0,150,154.43,58.05
1,157,163.83,56.01
0,174,167.64,48.98
0,168,152.4,42.4
1,139,146.05,43.54
1,145,146.81,38.1
1,150,138.43,33.56
0,170,162.05,51.02
0,157,147.32,36.51
0,173,167.64,50.79
0,177,153.67,50.79
1,150,155.7,42.63
1,145,149.35,40.36
1,149,163.32,50.11
0,144,159.51,42.63
1,177,156.97,64.63
1,182,148.08,47.39
0,169,157.48,45.35
1,186,146.81,43.08
1,169,158.24,45.12
0,196,163.83,44.44
1,170,163.32,40.82
1,190,169.67,63.49
1,177,155.7,36.73
0,193,168.4,60.32
1,155,155.7,48.53
1,178,161.29,67.35
1,166,156.21,46.94
0,178,170.94,54.2
0,174,160.02,50.79
1,168,156.21,43.08
1,197,164.59,50.79
1,185,152.4,48.07
1,189,163.32,51.47
1,178,168.91,53.29
0,200,180.34,66.67
1,167,154.94,42.4
1,145,149.86,41.5
0,157,153.67,47.62
0,166,157.48,41.27
0,142,149.35,38.1
0,150,149.86,44.44
1,176,155.7,50.79
1,147,141.73,34.01
1,183,163.83,46.49
0,182,170.18,60.32
1,163,143.51,38.1
1,185,149.86,47.17
1,146,152.4,49.43
0,149,133.35,36.73
0,186,168.91,50.79
0,160,153.67,38.1
0,173,175.26,51.02
0,140,148.59,39.23
1,143,130.3,22.9
1,154,152.4,51.7
0,166,170.94,54.88
1,183,163.32,49.66
1,143,140.97,38.1
1,154,159.51,42.4
1,165,155.7,48.3
0,146,145.54,37.64
0,142,142.24,39.68
1,147,148.08,50.57
0,152,151.13,47.62
1,152,153.67,47.62
0,206,173.48,60.77
1,140,152.4,34.92
0,159,159.51,44.9
0,178,161.29,46.49
1,171,158.75,50.79
1,150,151.13,35.6
1,146,143.0,37.87
1,148,143.0,34.92
1,142,142.24,32.88
1,155,167.64,65.53
0,185,167.64,47.62
1,141,156.97,38.55
1,186,161.29,48.98
0,150,151.13,38.1
1,162,147.32,38.1
1,148,153.67,38.32
0,141,135.38,38.1
0,176,165.1,53.74
1,161,149.86,41.72
0,156,148.08,41.95
0,203,168.91,53.06
1,167,158.24,41.95
1,147,130.81,29.02
1,141,155.7,38.55
0,193,172.21,57.82
1,153,160.78,48.98
1,190,144.27,44.67
1,144,154.94,41.72
0,140,143.51,38.1
0,142,139.7,31.75
0,188,160.78,52.38
0,140,144.27,37.87
0,194,165.86,61.0
1,157,153.67,50.79
0,165,164.59,44.44
0,175,172.72,50.79
0,164,161.29,48.98
1,180,160.78,51.7
1,140,135.89,36.73
1,164,147.32,37.87
1,172,164.59,64.4
0,144,144.78,38.1
0,161,144.27,34.01
1,171,156.21,41.27
0,175,162.56,41.72
0,188,167.13,68.25
0,155,156.97,41.5
1,191,158.75,51.02
1,160,157.48,42.86
1,164,160.78,48.98
1,191,160.78,51.47
0,156,173.99,51.7
0,151,150.62,39.46
1,179,160.02,44.67
1,182,166.37,60.32
0,174,177.29,54.2
0,175,166.37,51.7
0,176,156.21,36.73
1,141,142.24,32.88
1,171,160.02,38.1
0,146,139.7,32.43
1,182,162.56,50.57
1,180,155.7,50.11
0,158,165.1,54.88
0,155,145.54,36.51
1,185,160.78,45.8
1,169,156.21,38.55
0,178,162.05,50.79
1,210,157.48,52.61
0,144,151.13,39.91
0,162,152.4,47.62
1,139,156.21,47.17
0,184,168.91,50.79
0,163,167.64,50.79
0,144,145.54,34.69
0,144,152.4,53.29
0,153,146.81,36.05
1,185,165.86,53.51
0,164,147.32,38.1
0,188,170.94,50.79
1,186,144.78,37.87
0,164,146.81,43.08
0,162,160.02,41.27
1,147,155.7,52.15
0,183,167.64,47.85
0,140,151.13,42.86
0,206,176.53,77.78
0,159,160.78,50.79
1,149,148.08,42.18
0,164,168.91,50.79
1,175,153.16,39.0
0,189,168.4,50.79
1,175,154.43,42.4
1,144,151.13,42.4
1,143,148.08,35.15
0,153,164.59,58.05
0,153,152.4,38.1
0,180,156.97,47.17
1,147,151.89,38.32
0,164,153.67,43.08
0,143,146.05,34.01
0,175,161.29,44.67
0,188,180.34,63.49
0,143,146.05,45.8
0,171,156.97,50.79
0,173,155.7,42.18
1,191,165.86,48.53
0,151,148.08,39.0
0,139,153.67,39.46
0,150,156.97,53.51
0,149,143.0,32.65
1,142,143.51,31.29
0,151,168.4,53.06
0,148,153.67,53.51
0,167,157.48,48.75
1,140,136.65,31.07
0,147,144.78,38.1
0,144,152.4,40.36
1,139,134.11,28.8
0,156,156.97,50.79
1,143,143.0,38.55
1,144,141.73,33.33
0,146,146.05,40.82
1,155,158.24,47.62
1,178,156.21,46.94
1,166,150.62,40.59
1,193,151.89,52.15
0,166,158.75,38.1
1,165,140.97,30.39
