domanialite,arrondissement,libelle_francais,genre,espece,circonference_cm,hauteur_m,stade_de_developpement
1,8,30,18,36,65.0,8.0,2
1,8,2,2,2,25.0,5.0,1
3,7,10,10,12,140.0,10.0,3
3,7,5,5,14,105.0,10.0,3
3,16,4,4,18,263.0,25.0,4
1,17,19,18,22,48.0,7.0,1
1,15,2,2,8,40.0,5.0,1
3,1,29,28,424,120.0,10.0,2
1,5,4,4,4,61.0,12.0,2
6,3,2,2,2,95.0,10.0,3
2,1,7,7,7,125.0,18.0,2
4,6,1,1,15,18.0,3.0,1
2,1,9,9,33,80.0,10.0,2
1,18,4,4,4,120.0,15.0,3
1,4,5,5,5,90.0,15.0,3
1,6,23,22,80,170.0,16.0,4
1,10,5,5,29,120.0,16.0,3
2,4,43,39,97,35.0,3.0,1
5,19,39,36,60,135.0,15.0,3
1,12,8,8,10,30.0,6.0,1
1,1,4,4,4,140.0,12.0,3
1,10,8,8,10,69.0,8.0,3
1,17,4,4,4,115.0,14.0,3
1,1,95,80,141,20.0,4.0,1
1,8,2,2,8,75.0,8.0,2
1,13,10,10,12,77.0,9.0,3
6,8,9,9,45,30.0,7.0,1
1,20,4,4,4,89.0,14.0,3
1,10,8,8,10,87.0,11.0,3
1,8,16,10,20,62.0,6.0,3
1,4,5,5,5,20.0,5.0,1
1,8,29,28,14,30.0,5.0,1
1,3,2,2,8,120.0,15.0,3
1,7,5,5,5,35.0,5.0,1
2,3,2,2,2,250.0,22.0,3
2,5,18,17,14,20.0,5.0,1
1,6,23,22,80,120.0,18.0,3
1,13,8,8,10,90.0,14.0,2
3,19,2,2,2,232.0,15.0,4
2,13,24,23,26,65.0,7.0,2
2,5,8,8,10,50.0,6.0,2
1,4,29,28,14,20.0,5.0,1
1,4,4,4,4,45.0,7.0,1
1,10,1,1,15,80.0,10.0,2
1,1,4,4,4,55.0,5.0,1
1,4,4,4,4,145.0,15.0,3
1,5,4,4,4,180.0,15.0,3
3,7,1,1,1,170.0,18.0,3
6,12,4,4,4,130.0,14.0,3
3,19,95,80,141,142.0,14.0,3
2,17,26,25,107,49.0,5.0,1
1,8,27,26,34,150.0,20.0,3
1,4,5,5,5,120.0,10.0,3
1,8,8,8,10,100.0,10.0,3
1,8,2,2,8,125.0,10.0,3
1,23,4,4,4,100.0,20.0,3
1,5,5,5,29,98.0,12.0,3
6,9,35,32,44,104.0,15.0,3
4,13,9,9,11,83.0,5.0,3
6,12,19,18,22,25.0,5.0,1
1,1,5,5,78,50.0,5.0,1
1,8,14,14,5,35.0,4.0,1
2,13,4,4,4,234.0,19.0,4
2,17,17,16,7,30.0,6.0,1
1,3,41,38,14,70.0,5.0,2
3,13,1,1,1,105.0,10.0,3
1,23,14,14,5,120.0,15.0,3
2,2,45,41,27,65.0,12.0,2
1,6,22,21,25,25.0,6.0,1
2,23,23,22,50,175.0,18.0,3
2,1,24,23,26,25.0,4.0,1
1,22,5,5,14,80.0,15.0,2
3,7,4,4,4,65.0,18.0,3
3,19,2,2,2,180.0,18.0,3
1,13,5,5,5,134.0,19.0,3
2,8,9,9,11,80.0,10.0,3
1,8,10,10,12,55.0,8.0,2
1,17,7,7,7,52.0,6.0,1
5,7,5,5,14,125.0,10.0,3
1,14,6,6,64,93.0,12.0,3
1,7,4,4,4,170.0,18.0,3
5,18,21,20,24,20.0,2.0,1
1,17,4,4,4,140.0,10.0,3
2,11,1,1,15,30.0,5.0,1
1,11,4,4,4,150.0,18.0,2
1,7,4,4,4,40.0,7.0,1
1,5,59,51,75,115.0,10.0,3
2,17,17,16,7,38.0,7.0,2
1,1,2,2,2,95.0,10.0,2
3,16,41,38,11,65.0,10.0,1
1,6,4,4,4,35.0,5.0,1
1,9,29,28,424,92.0,10.0,3
1,1,7,7,7,30.0,5.0,1
1,7,5,5,5,55.0,8.0,2
3,16,1,1,16,155.0,20.0,3
2,7,1,1,1,60.0,15.0,3
2,17,5,5,29,53.0,5.0,1
1,18,4,4,4,40.0,10.0,2
1,11,2,2,2,100.0,12.0,1
2,5,12,12,14,33.0,3.0,2
2,1,9,9,45,130.0,15.0,3
2,3,1,1,1,115.0,18.0,3
1,17,4,4,4,80.0,8.0,2
2,11,15,15,19,13.0,3.0,1
2,5,79,67,142,23.0,2.0,1
3,7,1,1,16,170.0,12.0,3
2,1,5,5,5,220.0,20.0,3
1,2,2,2,8,25.0,5.0,1
1,3,4,4,14,65.0,10.0,2
1,4,4,4,28,90.0,15.0,3
1,17,4,4,4,115.0,15.0,3
1,17,19,18,22,26.0,4.0,1
6,3,4,4,4,45.0,8.0,2
1,12,4,4,4,160.0,12.0,3
1,1,7,7,7,85.0,6.0,1
1,7,4,4,4,185.0,16.0,3
1,18,4,4,4,20.0,5.0,1
4,5,22,21,25,20.0,2.0,1
3,19,2,2,2,215.0,20.0,4
1,8,4,4,28,225.0,15.0,4
1,7,10,10,42,105.0,8.0,3
2,17,9,9,272,30.0,3.0,1
1,12,41,38,11,60.0,8.0,2
1,1,10,10,12,135.0,10.0,3
2,1,4,4,4,200.0,18.0,3
1,4,4,4,18,50.0,6.0,3
2,7,10,10,12,80.0,6.0,2
